slug,market_id,entry_ts,direction,entry_price,fill_price,entry_btc_spot,final_btc_price,btc_price_to_beat,yes_won,fee_rate,payout,fee,pnl,outcome,signal_score,signal_confidence,signal_count,fee_regime
btc-updown-15m-1764108900,701919,1764109688,LONG,0.995,0.9999,87081.74,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,92.10626185958255,0.7820312500000001,3,no-fee
btc-updown-15m-1764109800,701937,1764110587,LONG,0.995,0.9999,87324.94,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,92.10626185958255,0.7820312500000001,3,no-fee
btc-updown-15m-1764110700,701941,1764111489,LONG,0.965,0.97,87676.61,0.0,0.0,True,0.0,0.03092783505154642,0.0,0.03092783505154642,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764111600,701957,1764112388,LONG,0.83,0.835,87663.74,0.0,0.0,True,0.0,0.19760479041916174,0.0,0.19760479041916174,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764112500,701991,1764113290,SHORT,0.005,0.0001,87490.19,0.0,0.0,False,0.0,0.00010001000100010001,0.0,0.00010001000100010001,WIN,100.0,0.775,2,no-fee
btc-updown-15m-1764113400,702012,1764114200,SHORT,0.08,0.075,87410.67,0.0,0.0,False,0.0,0.08108108108108107,0.0,0.08108108108108107,WIN,100.0,0.775,2,no-fee
btc-updown-15m-1764114300,702017,1764115086,SHORT,0.245,0.235,87342.7,0.0,0.0,False,0.0,0.3071895424836601,0.0,0.3071895424836601,WIN,100.0,0.775,2,no-fee
btc-updown-15m-1764115200,702039,1764115986,LONG,0.975,0.99,87411.57,0.0,0.0,True,0.0,0.01010101010101011,0.0,0.01010101010101011,WIN,92.04588910133843,0.7768229166666667,3,no-fee
btc-updown-15m-1764116100,702069,1764116886,LONG,0.885,0.89,87560.16,0.0,0.0,True,0.0,0.12359550561797751,0.0,0.12359550561797751,WIN,77.6892772461801,0.6336450898350973,2,no-fee
btc-updown-15m-1764117000,702090,1764117787,SHORT,0.025,0.019999999999999997,87498.86,0.0,0.0,False,0.0,0.02040816326530612,0.0,0.02040816326530612,WIN,100.0,0.7768229166666667,3,no-fee
btc-updown-15m-1764117900,702103,1764118686,SHORT,0.275,0.27,87524.03,0.0,0.0,True,0.0,-1.0,0.0,-1.0,LOSS,100.0,0.7117187500000001,3,no-fee
btc-updown-15m-1764118800,702137,1764119587,SHORT,0.065,0.06,87497.32,0.0,0.0,False,0.0,0.06382978723404255,0.0,0.06382978723404255,WIN,100.0,0.7664062500000001,3,no-fee
btc-updown-15m-1764119700,702148,1764120486,LONG,0.98,0.985,87581.77,0.0,0.0,True,0.0,0.0152284263959391,0.0,0.0152284263959391,WIN,92.06106870229007,0.7781250000000001,3,no-fee
btc-updown-15m-1764120600,702155,1764121388,LONG,0.995,0.9999,88159.34,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764121500,702165,1764122286,SHORT,0.005,0.0001,87893.84,0.0,0.0,False,0.0,0.00010001000100010001,0.0,0.00010001000100010001,WIN,100.0,0.7820312500000001,3,no-fee
btc-updown-15m-1764122400,702181,1764123186,LONG,0.945,0.955,87944.47,0.0,0.0,True,0.0,0.04712041884816758,0.0,0.04712041884816758,WIN,91.95357833655706,0.7690104166666667,3,no-fee
btc-updown-15m-1764123300,702202,1764124085,SHORT,0.005,0.0001,87760.77,0.0,0.0,False,0.0,0.00010001000100010001,0.0,0.00010001000100010001,WIN,100.0,0.775,2,no-fee
btc-updown-15m-1764124200,702213,1764124988,LONG,0.985,0.995,87833.53,0.0,0.0,True,0.0,0.005025125628140708,0.0,0.005025125628140708,WIN,92.07619047619048,0.7794270833333333,3,no-fee
btc-updown-15m-1764125100,702214,1764125887,SHORT,0.005,0.0001,87650.03,0.0,0.0,False,0.0,0.00010001000100010001,0.0,0.00010001000100010001,WIN,100.0,0.775,2,no-fee
btc-updown-15m-1764126900,702238,1764127689,LONG,0.995,0.9999,87795.32,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764127800,702247,1764128589,SHORT,0.005,0.0001,87339.74,0.0,0.0,False,0.0,0.00010001000100010001,0.0,0.00010001000100010001,WIN,100.0,0.775,2,no-fee
btc-updown-15m-1764128700,702250,1764129501,SHORT,0.005,0.0001,87048.91,0.0,0.0,False,0.0,0.00010001000100010001,0.0,0.00010001000100010001,WIN,100.0,0.775,2,no-fee
btc-updown-15m-1764129600,702261,1764130388,SHORT,0.005,0.0001,86873.99,0.0,0.0,False,0.0,0.00010001000100010001,0.0,0.00010001000100010001,WIN,100.0,0.775,2,no-fee
btc-updown-15m-1764130500,702271,1764131289,LONG,0.995,0.9999,87187.5,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.12871287128714,0.775,2,no-fee
btc-updown-15m-1764131400,702275,1764132188,LONG,0.7,0.71,87222.43,0.0,0.0,True,0.0,0.4084507042253522,0.0,0.4084507042253522,WIN,100.0,0.6398963730569949,2,no-fee
btc-updown-15m-1764132300,702279,1764133088,SHORT,0.115,0.11,87246.02,0.0,0.0,False,0.0,0.12359550561797752,0.0,0.12359550561797752,WIN,100.0,0.7533854166666667,3,no-fee
btc-updown-15m-1764133200,702468,1764133986,LONG,0.995,0.9999,87354.98,0.0,0.0,True,0.0,0.000100010001000089,0.0,0.000100010001000089,WIN,87.12871287128714,0.775,2,no-fee
